Date,Open,High,Low,Close,Adj Close,Volume
2022-05-13,0.385178,0.462336,0.382733,0.423417,0.423417,2949331810
2022-05-14,0.423419,0.439504,0.398658,0.427774,0.427774,2021953522
2022-05-15,0.427687,0.447613,0.416619,0.447371,0.447371,1427697924
2022-05-16,0.447407,0.447569,0.412086,0.422499,0.422499,1839092427
2022-05-17,0.422457,0.439092,0.421152,0.437623,0.437623,1598581919
2022-05-18,0.437636,0.441267,0.406166,0.406166,0.406166,1599734223
2022-05-19,0.406062,0.422363,0.397487,0.419976,0.419976,1557252121
2022-05-20,0.419927,0.437506,0.403178,0.411137,0.411137,1721877559
2022-05-21,0.411128,0.417256,0.405365,0.414673,0.414673,875738315
2022-05-22,0.414691,0.424337,0.411091,0.422337,0.422337,896133087
2022-05-23,0.42226,0.427835,0.404358,0.404671,0.404671,1399019792
2022-05-24,0.404681,0.413289,0.393646,0.408713,0.408713,1394251522
2022-05-25,0.4087,0.412966,0.39676,0.405785,0.405785,1587278448
2022-05-26,0.405799,0.410119,0.380723,0.39317,0.39317,2091610974
2022-05-27,0.393076,0.40128,0.378166,0.381787,0.381787,1927217638
2022-05-28,0.386587,0.388115,0.381716,0.386323,0.386323,865258883
2022-05-29,0.386331,0.389496,0.380762,0.389016,0.389016,752879867
2022-05-30,0.389019,0.418702,0.387636,0.418175,0.418175,1404448305
2022-05-31,0.418126,0.429676,0.408899,0.421867,0.421867,1738462198
2022-06-01,0.421889,0.425118,0.392617,0.398085,0.398085,1569696040
2022-06-02,0.398079,0.406664,0.392553,0.405302,0.405302,1298797541
2022-06-03,0.405315,0.40944,0.3855,0.390766,0.390766,1284592602
2022-06-04,0.390781,0.393463,0.386286,0.392309,0.392309,696569397
2022-06-05,0.392324,0.399337,0.390267,0.39538,0.39538,726398938
2022-06-06,0.395402,0.408486,0.394876,0.403011,0.403011,1221803580
2022-06-07,0.403009,0.416477,0.385782,0.407702,0.407702,1666703798
2022-06-08,0.407691,0.409893,0.396148,0.400648,0.400648,1183206226
2022-06-09,0.400658,0.403607,0.39762,0.400324,0.400324,911815336
2022-06-10,0.400316,0.409916,0.380881,0.381736,0.381736,1424539679
2022-06-11,0.381764,0.388056,0.358626,0.359025,0.359025,1111401064
2022-06-12,0.359091,0.364695,0.341609,0.34549,0.34549,1370072145
2022-06-13,0.345409,0.348877,0.303853,0.310802,0.310802,2558939154
2022-06-14,0.310821,0.323524,0.295166,0.322143,0.322143,1977069964
2022-06-15,0.322099,0.344831,0.300711,0.343703,0.343703,2242860490
2022-06-16,0.343684,0.345373,0.308417,0.312056,0.312056,1477710114
2022-06-17,0.312145,0.338538,0.31122,0.321381,0.321381,1381554091
2022-06-18,0.321331,0.325714,0.290579,0.30809,0.30809,1403189628
2022-06-19,0.308033,0.330477,0.298947,0.326053,0.326053,1159418572
2022-06-20,0.32602,0.328047,0.314241,0.323346,0.323346,1187888833
2022-06-21,0.323284,0.336063,0.320152,0.328626,0.328626,1247582002
2022-06-22,0.328729,0.32906,0.319598,0.322585,0.322585,1064144662
2022-06-23,0.322591,0.336076,0.322183,0.335531,0.335531,927324605
2022-06-24,0.335509,0.384659,0.335491,0.367587,0.367587,2253100828
2022-06-25,0.367623,0.372282,0.355679,0.367556,0.367556,912142249
2022-06-26,0.367533,0.373732,0.358818,0.358864,0.358864,789514304
2022-06-27,0.358863,0.365992,0.350973,0.353235,0.353235,989571906
2022-06-28,0.353235,0.355267,0.336915,0.337329,0.337329,1038924972
2022-06-29,0.337372,0.341103,0.323425,0.328978,0.328978,1094664825
2022-06-30,0.329002,0.331458,0.307668,0.331448,0.331448,1456445785
2022-07-01,0.331645,0.333078,0.31145,0.313677,0.313677,1249145615
2022-07-02,0.313724,0.317014,0.310522,0.315579,0.315579,608601610
2022-07-03,0.315573,0.325247,0.310214,0.321703,0.321703,728566418
2022-07-04,0.321688,0.3291,0.315573,0.32879,0.32879,1018446189
2022-07-05,0.328703,0.330156,0.314346,0.325423,0.325423,1130550266
2022-07-06,0.32546,0.333025,0.320645,0.332272,0.332272,1099742037
2022-07-07,0.332263,0.343521,0.327338,0.342151,0.342151,1037133139
2022-07-08,0.342167,0.356509,0.337063,0.341628,0.341628,1469173608
