category_name,like_rate
Gaming,4.153166137465346
Comedy,2.8600762211010116
People & Blogs,2.731967257646597
Howto & Style,2.712390537947742
Science & Technology,2.4772193764277115
Autos & Vehicles,2.2909171421626082
Nonprofits & Activism,2.035155159202813
Education,1.995918180603471
Pets & Animals,1.9543547930796863
News & Politics,1.78647257291266
Film & Animation,1.5108961232263807
Entertainment,
Movies,
Music,
Shows,
Sports,
Travel & Events,
